Title,ClassNo,Type,Instructor,Days,StartTime,EndTime,Location,MaxCapacity,Enrolled,Waitlist
CPE-329-02-2194,****,Lab,N/A,N/A,N/A,N/A,N/A,24,28,15
CPE-329-03-2194,****,Lec,N/A,N/A,N/A,N/A,N/A,24,28,15
CPE-329-04-2194,****,Lab,N/A,N/A,N/A,N/A,N/A,40,28,29
CPE-329-05-2194,8084,Lec,"DeBruhl II, B",MWF,08:10 AM,09:00 AM,N/A,40,28,29
CPE-329-06-2194,8085,Lab,"DeBruhl II, B",MWF,09:10 AM,10:00 AM,N/A,16,28,23
CPE-329-07-2194,2837,Lec,"Hummel, P",MWF,08:10 AM,09:00 AM,N/A,16,28,23
CPE-329-08-2194,2912,Lab,"Hummel, P",MWF,09:10 AM,10:00 AM,N/A,40,35,36
CPE-329-09-2194,5458,Lec,"Malekmohammadi, A",MWF,08:10 AM,09:00 AM,N/A,24,35,36
CPE-329-10-2194,5459,Lab,"Malekmohammadi, A",MWF,09:10 AM,10:00 AM,N/A,35,35,35
CPE-329-11-2194,2914,Lec,"Oliver, J",MWF,11:10 AM,12:00 PM,N/A,24,35,35
CPE-329-12-2194,2917,Lab,"Oliver, J",MWF,12:10 PM,01:00 PM,N/A,48,35,34
CPE-329-13-2194,3530,Lec,"Planck, J",MWF,12:10 PM,01:00 PM,N/A,24,35,34
CPE-329-14-2194,3531,Lab,"Planck, J",MWF,01:10 PM,02:00 PM,N/A,44,30,35
CPE-329-15-2194,4199,Lec,"Malekmohammadi, A",MWF,02:10 PM,03:00 PM,N/A,35,30,35
CPE-329-16-2194,4200,Lab,"Malekmohammadi, A",MWF,03:10 PM,04:00 PM,N/A,20,30,35
CPE-329-17-2194,4570,Lec,"Hummel, P",MWF,04:10 PM,05:00 PM,N/A,35,30,35
CPE-329-18-2194,4571,Lab,"Hummel, P",MWF,05:10 PM,06:00 PM,N/A,40,30,35
CPE-357-01-2194,6785,Lec,"Malekmohammadi, A",MWF,04:10 PM,05:00 PM,N/A,35,30,35
CPE-357-02-2194,6786,Lab,"Malekmohammadi, A",MWF,05:10 PM,06:00 PM,N/A,N/A,35,2
CPE-357-03-2194,8116,Lec,"Hummel, P",MWF,01:10 PM,02:00 PM,N/A,N/A,N/A,N/A
CPE-357-04-2194,8117,Lab,"Hummel, P",MWF,02:10 PM,03:00 PM,N/A,N/A,N/A,N/A
CPE-357-05-2194,8352,Lec,"Danowitz, A",TR,08:10 AM,09:30 AM,N/A,N/A,N/A,N/A
CPE-357-06-2194,8353,Lab,"Danowitz, A",TR,09:40 AM,11:00 AM,N/A,N/A,40,35
CPE-357-07-2194,6827,Lec,"Taylor, G",MWF,07:10 AM,08:00 AM,N/A,16,24,35
CPE-357-08-2194,6828,Lab,"Taylor, G",MWF,08:10 AM,09:00 AM,N/A,16,36,35
CPE-357-09-2194,6829,Lec,"Taylor, G",MWF,11:10 AM,12:00 PM,N/A,12,30,35
CPE-357-10-2194,6830,Lab,"Taylor, G",MWF,01:10 PM,02:00 PM,N/A,12,70,35
CPE-357-11-2194,6831,Lec,"Planck, J",TR,08:10 AM,09:30 AM,N/A,18,24,35
CPE-357-12-2194,6832,Lab,"Planck, J",TR,09:40 AM,11:00 AM,N/A,18,40,35
CPE-400-01-2194,6833,Lec,"Mammen, K",TR,08:10 AM,09:30 AM,N/A,21,24,35
CPE-400-02-2194,6834,Lab,"Mammen, K",TR,09:40 AM,11:00 AM,N/A,21,42,35
CPE-400-03-2194,6835,Lec,"Mammen, K",TR,12:10 PM,01:30 PM,N/A,10,16,35
CPE-400-04-2194,6836,Lab,"Mammen, K",TR,01:40 PM,03:00 PM,N/A,10,36,35
CPE-400-05-2194,7512,Lec,"Mammen, K",TR,03:10 PM,04:30 PM,N/A,9,16,35
CPE-400-06-2194,7513,Lab,"Mammen, K",TR,04:40 PM,06:00 PM,N/A,9,42,30
CPE-400-07-2194,1428,Ind,"Oliver, J",N/A,N/A,N/A,N/A,2,24,30
CPE-400-08-2194,****,Ind,"Slivovsky, L",N/A,N/A,N/A,N/A,2,N/A,18
CPE-400-09-2194,****,Ind,"Smilkstein, T",N/A,N/A,N/A,N/A,0,N/A,N/A
CPE-400-10-2194,****,Ind,"Seng, J",N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-400-11-2194,****,Ind,"Khosmood, F",N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-400-12-2194,****,Ind,"Haungs, M",N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-400-13-2194,****,Ind,"Bellardo, J",N/A,N/A,N/A,N/A,0,0,N/A
CPE-400-14-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-400-15-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-400-16-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-400-17-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-453-01-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPE-453-02-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,93,75
CPE-453-03-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,24,25
CPE-453-04-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,18,24,25
CPE-453-05-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,9,24,25
CPE-453-06-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,11,36,35
CPE-453-07-2194,6777,Lec,"Gonella, N",MWF,08:10 AM,09:00 AM,N/A,16,16,35
CPE-453-08-2194,6778,Lab,"Gonella, N",MWF,09:10 AM,10:00 AM,N/A,16,40,35
CPE-453-09-2194,6779,Lec,"Nico, P",MWF,10:10 AM,11:00 AM,N/A,2,16,35
CPE-453-10-2194,6780,Lab,"Nico, P",MWF,11:10 AM,12:00 PM,N/A,2,N/A,N/A
CPE-453-11-2194,6781,Lec,"Foote, W",MWF,03:10 PM,04:00 PM,N/A,N/A,N/A,N/A
